handle,url,first_result,first_http,second_result,second_http,confirmed_remove,reason
@xxx14566,https://x.com/xxx14566,suspended,200,suspended,200,yes,X suspended
@ixuanpw,https://x.com/ixuanpw,suspended,200,suspended,200,yes,X suspended
@Wistonanthonyv2,https://x.com/Wistonanthonyv2,not_found,404,not_found,404,yes,X account not found / 404
@Pomelo24h,https://x.com/Pomelo24h,suspended,200,suspended,200,yes,X suspended
@GrowBlocks001,https://x.com/GrowBlocks001,suspended,200,suspended,200,yes,X suspended
@StanleyEne49,https://x.com/StanleyEne49,not_found,404,not_found,404,yes,X account not found / 404
@0xIQY,https://x.com/0xIQY,not_found,404,not_found,404,yes,X account not found / 404
@For_AaGou,https://x.com/For_AaGou,suspended,200,suspended,200,yes,X suspended
@kuk4737341,https://x.com/kuk4737341,not_found,404,not_found,404,yes,X account not found / 404
@IBRAHIM7275181,https://x.com/IBRAHIM7275181,not_found,404,not_found,404,yes,X account not found / 404
@siulkhr,https://x.com/siulkhr,not_found,404,not_found,404,yes,X account not found / 404
@in3adx,https://x.com/in3adx,suspended,200,suspended,200,yes,X suspended
@Aobing_1463,https://x.com/Aobing_1463,suspended,200,suspended,200,yes,X suspended
@wuweizi2018,https://x.com/wuweizi2018,suspended,200,suspended,200,yes,X suspended
@JonathanFWu,https://x.com/JonathanFWu,suspended,200,suspended,200,yes,X suspended
@Flowerdoggy98,https://x.com/Flowerdoggy98,not_found,404,not_found,404,yes,X account not found / 404
@BCallmeuncle,https://x.com/BCallmeuncle,suspended,200,suspended,200,yes,X suspended
@vpnkkf,https://x.com/vpnkkf,suspended,200,suspended,200,yes,X suspended
@xwh19881230,https://x.com/xwh19881230,suspended,200,suspended,200,yes,X suspended
@yulooookcom,https://x.com/yulooookcom,not_found,404,not_found,404,yes,X account not found / 404
@HLTLY2,https://x.com/HLTLY2,not_found,404,not_found,404,yes,X account not found / 404
@xiaqingfeng666,https://x.com/xiaqingfeng666,suspended,200,suspended,200,yes,X suspended
@ShuaiYang70381,https://x.com/ShuaiYang70381,suspended,200,suspended,200,yes,X suspended
@hoangyen2k9,https://x.com/hoangyen2k9,not_found,404,not_found,404,yes,X account not found / 404
@qcb16803,https://x.com/qcb16803,not_found,404,not_found,404,yes,X account not found / 404
@ycfd1688,https://x.com/ycfd1688,not_found,404,not_found,404,yes,X account not found / 404
@Min040824,https://x.com/Min040824,suspended,200,suspended,200,yes,X suspended
@emmmMile,https://x.com/emmmMile,suspended,200,suspended,200,yes,X suspended
@AlexWangi25g,https://x.com/AlexWangi25g,suspended,200,suspended,200,yes,X suspended
@blockcnth,https://x.com/blockcnth,not_found,404,not_found,404,yes,X account not found / 404
@MrPao168,https://x.com/MrPao168,suspended,200,suspended,200,yes,X suspended
@SAM1021219,https://x.com/SAM1021219,suspended,200,suspended,200,yes,X suspended
@333333sc,https://x.com/333333sc,not_found,404,not_found,404,yes,X account not found / 404
@wiz_von,https://x.com/wiz_von,suspended,200,suspended,200,yes,X suspended
@DucklowOrval,https://x.com/DucklowOrval,suspended,200,suspended,200,yes,X suspended
@Ikunakala,https://x.com/Ikunakala,suspended,200,suspended,200,yes,X suspended
